title,price,location,date_posted,url
Covered Car Parking - Monthly Rent,N/A,N/A,2025-05-10T17:59:47+05:30,N/A
Honda VX CVT car cover unused,"{'raw': 1500.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 1,500'}",N/A,2025-05-10T17:00:11+05:30,N/A
"Spacious 1 bhk on 3rd floor with exclusive one covered car parking,","{'raw': 12000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 12,000'}",N/A,2025-05-10T16:22:11+05:30,N/A
2bhk for rent at Pammal with covered car parking.,"{'raw': 20000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 20,000'}",N/A,2025-05-10T15:18:43+05:30,N/A
Alto car original cover,"{'raw': 700.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 700'}",N/A,2025-05-10T14:50:11+05:30,N/A
"2BHK FLAT SALE Magnolia Fantasia with covered car parking

No broaker","{'raw': 2690000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 26,90,000'}",N/A,2025-05-10T13:58:02+05:30,N/A
Baleno Delta Car Rim & Rim Covers for Rs 6000,"{'raw': 6000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 6,000'}",N/A,2025-05-10T13:41:31+05:30,N/A
"1 BHK in Kadavanthra, Cochin with covered car park, 1 km from metro","{'raw': 16000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 16,000'}",N/A,2025-05-10T13:50:10+05:30,N/A
Ritz car cover,"{'raw': 800.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 800'}",N/A,2025-05-10T12:51:58+05:30,N/A
Hyundai I20 Sportz Car Cover,"{'raw': 2000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 2,000'}",N/A,2025-05-10T11:55:46+05:30,N/A
"Full Furnished 3BHK flat for sale 5 years old, 1 covered car parking.","{'raw': 12100000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 1,21,00,000'}",N/A,2025-05-10T10:56:41+05:30,N/A
Car seat cover yel,"{'raw': 2999.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 2,999'}",N/A,2025-05-10T10:47:52+05:30,N/A
Car seat cover Whi,"{'raw': 2999.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 2,999'}",N/A,2025-05-10T10:42:33+05:30,N/A
Car seat cover ele,"{'raw': 2999.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 2,999'}",N/A,2025-05-10T10:27:38+05:30,N/A
A 800 SQFT FURNISHED 1BHK FLAT  COVERED CAR PARK AVAILABLE FOR RENT,"{'raw': 40000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 40,000'}",N/A,2025-04-24T10:30:33+05:30,N/A
"2 Bhk flat for Rent
1 st floor
East facing
Lift, Covered car parking","{'raw': 17000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 17,000'}",N/A,2025-05-10T08:41:46+05:30,N/A
2 BHK Flat For sale in Tower With Cover Car parking,"{'raw': 9000000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 90,00,000'}",N/A,2025-05-03T08:12:34+05:30,N/A
New clutch plate new tyre new seat cover gadi full condition,"{'raw': 100000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 1,00,000'}",N/A,2025-05-10T07:55:48+05:30,N/A
Cars Seat Cover,"{'raw': 5500.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 5,500'}",N/A,2025-05-10T00:42:02+05:30,N/A
Luxurious 3Bhk Beutiful Flat Covered Car Parking in Noida Extension,"{'raw': 6199000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 61,99,000'}",N/A,2025-05-09T22:11:43+05:30,N/A
